Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NLY,8.19,2021/12/23,16:00 EST,0.049999237,8.19,8.22,8.1424,12275200,,,,,,,
HOOD,18.9,2021/12/23,16:00 EST,0.52000046,18.31,19.25,17.89,13067466,20211027,35.0,35.0,,,,
HOOD,18.9,2021/12/23,16:00 EST,0.52000046,18.31,19.25,17.89,13067466,20211214,18.5,40.0,,,,
ETH-CAD,5256.747,2021/12/23,04:35 UTC,143.95605,5282.52,5290.5547,5235.446,21787172864,,,,,,,
NTSX,44.2,2021/12/23,16:00 EST,0.08000183,44.04,44.22,44.01,100732,,,,,,,
BTC-CAD,65498.78,2021/12/23,04:35 UTC,2938.418,65235.15,65989.21,64999.668,36594507776,,,,,,,
UBER,43.91,2021/12/23,16:00 EST,0.8899994,43.03,44.35,42.76,19324714,20210429,54.5,40.0,,,,
UBER,43.91,2021/12/23,16:00 EST,0.8899994,43.03,44.35,42.76,19324714,20210802,43.5,20.0,,,,
MILE,2.38,2021/12/23,16:00 EST,0.05000019,2.31,2.38,2.2712,1419608,,,,,,,
"^TYX",1.905,2021/12/23,14:59 EST,0.047999978,1.8709999,1.915,1.8540001,,,,,,,,
"^FVX",1.243,2021/12/23,14:59 EST,0.021000028,1.235,1.2479999,1.224,,,,,,,,
"^IRX",0.058,2021/12/23,14:59 EST,-0.0069999993,0.058,0.060000002,0.055,,,,,,,,
"^TNX",1.493,2021/12/23,14:59 EST,0.036000013,1.4760001,1.501,1.458,0,,,,,,,
TSLA,1067.0,2021/12/23,16:00 EST,58.130005,1006.8,1072.93,997.56,30456356,20210225,710.0,5.0,,,,
TSLA,1067.0,2021/12/23,16:00 EST,58.130005,1006.8,1072.93,997.56,30456356,20210308,605.0,5.0,,,,
TSLA,1067.0,2021/12/23,16:00 EST,58.130005,1006.8,1072.93,997.56,30456356,20210512,590.0,5.0,,,,
TSLA,1067.0,2021/12/23,16:00 EST,58.130005,1006.8,1072.93,997.56,30456356,20210519,550.0,5.0,,,,
SBUX,112.37,2021/12/23,16:00 EST,0.6300049,112.23,112.91,111.99,3359803,20210129,96.5,20.0,,,,
BAC,44.42,2021/12/23,16:00 EST,0.13999939,44.68,45.065,44.4,26304840,20201229,29.95,35.0,,,,
BAC,44.42,2021/12/23,16:00 EST,0.13999939,44.68,45.065,44.4,26304840,20210127,29.9,30.0,,,,
HHC,98.74,2021/12/23,16:00 EST,1.75,97.63,99.35,96.76,236777,20201222,80.85,30.0,,,,
ABNB,171.31,2021/12/23,16:00 EST,2.0200043,170.5,171.97,166.89,4017435,,,,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20201127,28.2,30.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20201201,24.85,30.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20201202,21.9,30.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20201228,26.0,40.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20201231,24.0,40.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20210216,28.5,50.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20210225,23.9,60.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20210324,22.8,30.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20210504,21.8,20.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20210506,19.79,20.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20211109,24.25,30.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20211112,22.5,40.0,,,,
PLTR,18.93,2021/12/23,16:00 EST,0.050001144,18.85,19.135,18.72,20588093,20211201,19.9,30.0,,,,
BYL.TO,0.83,2021/12/23,15:59 EST,-0.00999999,0.86,0.87,0.83,65802,20190801,3.6,200.0,,,,
BBD-B.TO,1.73,2021/12/23,16:00 EST,0.05000007,1.7,1.76,1.7,7911742,20190411,2.74,200.0,,,,
NOK,6.19,2021/12/23,16:00 EST,0.05000019,6.2,6.25,6.18,13499138,20190325,6.4,50.0,,,,
NPI.TO,37.9,2021/12/23,16:00 EST,-0.02999878,37.95,38.19,37.7,261348,20200303,25.24,40.0,,,,
GILD,72.48,2021/12/23,16:00 EST,0.05000305,72.57,72.82,72.18,5096606,20200207,69.4,30.0,,,,
DAL,39.3,2021/12/23,16:00 EST,0.16999817,39.72,39.89,38.995,8316891,20200624,27.5,30.0,,,,
SNAP,48.68,2021/12/23,16:00 EST,1.9099998,47.35,49.07,45.96,17820391,20190715,15.57,30.0,,,,
SNAP,48.68,2021/12/23,16:00 EST,1.9099998,47.35,49.07,45.96,17820391,20190801,16.84,30.0,,,,
SNAP,48.68,2021/12/23,16:00 EST,1.9099998,47.35,49.07,45.96,17820391,20191017,13.79,50.0,,,,
SNAP,48.68,2021/12/23,16:00 EST,1.9099998,47.35,49.07,45.96,17820391,20211025,55.0,10.0,,,,
DIS,153.63,2021/12/23,16:02 EST,1.75,152.32,154.1899,151.93,6489628,20200609,123.8,30.0,,,,
DIS,153.63,2021/12/23,16:02 EST,1.75,152.32,154.1899,151.93,6489628,20200611,113.25,25.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190507,124.5,5.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190718,135.0,20.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190802,135.5,40.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190805,131.84,20.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20200306,159.8,20.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20200527,177.3,35.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190412,120.63,10.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190502,126.2,10.0,,,,
MSFT,334.69,2021/12/23,16:00 EST,1.4899902,332.75,336.39,332.75,19232728,20190507,124.95,5.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20191230,61.95,25.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200221,82.95,25.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200326,55.8,20.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200401,46.5,25.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200527,76.9,35.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200715,119.8,15.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20200807,144.75,20.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20201030,155.2,20.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20210111,228.9,20.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20210223,245.0,20.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20210325,205.0,5.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20210524,201.0,10.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20211123,207.5,28.0,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6139748,20211203,175.0,15.0,,,,
AER,63.96,2021/12/23,16:00 EST,-0.05000305,64.45,64.94,63.92,687249,20201026,28.6,35.0,,,,
RKT,15.27,2021/12/23,16:00 EST,0.15000057,15.09,15.38,15.03,2454049,,,,,,,
WYNN,88.88,2021/12/23,16:00 EST,3.0099945,90.2,90.45,87.27,3336150,20201120,95.7,25.0,,,,
WYNN,88.88,2021/12/23,16:00 EST,3.0099945,90.2,90.45,87.27,3336150,20210921,79.85,25.0,,,,
